Артикул;Название;Категория;Описание;Цена;Скидка;Вес;Калории;Количество в порции;Объём;Картинка;Статус
1001;Сяке;Суши;Суши с лососем;64;50;35;26;1;;uploads/items/syake.png;1
1002;Унаги;Суши;Суши с копченым угрем, унаги соусом и кунжутом;74;50;35;39;1;;uploads/items/unagi.png;1
1003;Томаго;Суши;Суши с японским омлетом, унаги соусом и кунжутом;44;50;35;50;1;;uploads/items/tomago.png;1
1004;Изуми-дай;Суши;Суши с морским окунем;54;50;35;26;0;;uploads/items/izumi-dai.png;0
1005;Чука;Суши;Суши с салатом чука и кунжутом;54;50;35;36;1;;uploads/items/chuka.jpg;1
1006;Тобико;Суши;Суши с икрой тобико;84;50;35;83;1;;uploads/items/tobiko.jpg;1
1007;Кани спайс;Спайс суши;Суши со снежным крабом и спайси соусом;64;50;40;71;1;;uploads/items/kanispais.png;1
1008;Изуми-Дай спайс;Спайс суши;Суши с морским окунем и спайси соусом;64;50;40;80;0;;uploads/items/izumidaispais.jpg;0
1009;Унаги спайс;Спайс суши;Суши с копченым угрем и спайси соусом;84;50;40;85;1;;uploads/items/unagispais.jpg;1
1010;Марузаки спайс;Спайс суши;Суши с мидиями и спайси соусом;64;50;40;81;1;;uploads/items/maruzakispais.jpg;1
1011;Сяке спайс;Спайс суши;Суши с лососем и спайси соусом;74;50;40;77;1;;uploads/items/syakespais.jpg;1
2001;Изуми-Дай маки;Классические роллы;Окунь, рис, нори;108;50;105;66;8;;uploads/items/izumidaimaki.jpg;0
2002;Инь-Янь;Классические роллы;Лосось, огурец;138;50;130;83;8;;uploads/items/inyan.jpg;1
2003;Кани маки;Классические роллы;Снежный краб, рис, нори;98;50;105;61;8;;uploads/items/kanimaki.jpg;1
2004;Каппа маки;Классические роллы;Огурец, кунжут, рис, нори;108;50;105;59;8;;uploads/items/kappamaki.jpg;1
2005;Сяке маки;Классические роллы;Лосось, рис, нори;108;50;105;76;8;;uploads/items/syakemaki.jpg;1
2006;Томаго маки;Классические роллы;Омлет, кунжут, рис, нори, унаги соус;78;50;105;112;8;;uploads/items/tomagomaki.jpg;1
2007;Унаги маки;Классические роллы;Угорь, кунжут, унаги соус;168;50;105;125;8;;uploads/items/unagimaki.jpg;1
2008;Чука маки;Классические роллы;Салат чука, рис, нори, ореховый соус;116;50;105;110;8;;uploads/items/chukamaki.jpg;1
2009;Эби маки;Классические роллы;Креветка, рис, нори, сливочный сыр;154;50;105;88;8;;uploads/items/ebimaki.jpg;1
2010;Ясай маки;Классические роллы;Огурец, перец болгарский, помидор, лист салата;138;50;140;84;8;;uploads/items/yasaimaki.jpg;1
3001;Батакан;Роллы;Бекон х/к, сыр сливочный, японский омлет, икра масаго;278;50;230;343;8;;uploads/items/batakan.jpg;1
3002;Бонито спайси;Роллы;Окунь фурай, огурец, стружка тунца, спайси соус;298;50;210;316;8;;uploads/items/bonito-spaisi.jpg;1
